risk_type,threshold,accepted_examples,coverage,errors,observed_risk,risk_upper_bound
provenance,0.0,871,1.0,0,0.0,0.003433509056820341
provenance,0.1210015215456664,871,1.0,0,0.0,0.003433509056820341
provenance,0.1210015688470472,870,0.9988518943742825,0,0.0,0.0034374488281208766
provenance,0.1296991161518179,869,0.9977037887485649,0,0.0,0.0034413976511601064
provenance,0.1694153975394045,868,0.9965556831228473,0,0.0,0.003445355557168823
provenance,0.1788066305727157,867,0.9954075774971297,0,0.0,0.003449322577521658
provenance,0.1890800902208696,866,0.9942594718714122,0,0.0,0.003453298743737909
provenance,0.1891153626274686,865,0.9931113662456946,0,0.0,0.0034572840874823743
provenance,0.1901079599313923,864,0.9919632606199771,0,0.0,0.003461278640566195
provenance,0.1908873612330003,863,0.9908151549942594,0,0.0,0.0034652824349477003
provenance,0.1910963571981778,862,0.9896670493685419,0,0.0,0.0034692955027332602
provenance,0.2122687604813078,861,0.9885189437428243,0,0.0,0.0034733178761781414
provenance,0.2126827903186907,860,0.9873708381171068,0,0.0,0.0034773495876873764
provenance,0.2144568349909206,859,0.9862227324913893,0,0.0,0.0034813906698166275
provenance,0.2233433319811246,858,0.9850746268656716,0,0.0,0.0034854411552730706
provenance,0.2793224582066979,857,0.983926521239954,0,0.0,0.0034895010769162697
provenance,0.301915984877972,856,0.9827784156142365,0,0.0,0.003493570467759071
provenance,0.3028340395846777,855,0.981630309988519,0,0.0,0.003497649360968496
provenance,0.3032754876437045,854,0.9804822043628014,0,0.0,0.003501737789866641
provenance,0.3043887020422729,853,0.9793340987370838,0,0.0,0.003505835787931587
provenance,0.3286781838411883,851,0.9770378874856487,0,0.0,0.0035140606262596126
provenance,0.3324996027231193,850,0.9758897818599311,0,0.0,0.003518187534267029
provenance,0.3504537458778792,849,0.9747416762342136,0,0.0,0.003522324146931779
provenance,0.3524405415896133,848,0.9735935706084959,0,0.0,0.003526470498525698
provenance,0.3592974010624219,847,0.9724454649827784,0,0.0,0.0035306266234821854
provenance,0.3647303703475087,846,0.9712973593570609,0,0.0,0.003534792556397157
provenance,0.3654677333808225,845,0.9701492537313433,0,0.0,0.0035389683320300063
provenance,0.3677460417044401,844,0.9690011481056258,0,0.0,0.003543153985304571
provenance,0.3715522273796706,843,0.9678530424799081,0,0.0,0.003547349551310105
provenance,0.3763238076004602,841,0.965556831228473,0,0.0,0.0035557705627040762
provenance,0.3819468883086018,840,0.9644087256027555,0,0.0,0.0035599960791069685
provenance,0.3912631961469917,839,0.9632606199770379,0,0.0,0.0035642316502717385
provenance,0.394075639893361,838,0.9621125143513203,0,0.0,0.0035684773121295744
provenance,0.3972725291372844,837,0.9609644087256027,0,0.0,0.003572733100783074
provenance,0.4034779627307622,836,0.9598163030998852,0,0.0,0.003576999052507263
provenance,0.4055026276313092,835,0.9586681974741676,0,0.0,0.0035812752037506276
provenance,0.4188127749167479,834,0.9575200918484501,0,0.0,0.0035855615911361536
provenance,0.4214416098748351,833,0.9563719862227325,0,0.0,0.00358985825146237
provenance,0.4248204851563404,832,0.9552238805970149,0,0.0,0.0035941652217044043
provenance,0.4271018783697247,831,0.9540757749712974,0,0.0,0.0035984825390150393
provenance,0.4283977588854276,830,0.9529276693455798,0,0.0,0.0036028102407257867
provenance,0.4292929221545982,829,0.9517795637198623,0,0.0,0.0036071483643479577
provenance,0.4295910887412947,828,0.9506314580941446,0,0.0,0.0036114969475737504
provenance,0.4338943556935872,827,0.9494833524684271,0,0.0,0.003615856028277342
provenance,0.4466055899425902,826,0.9483352468427095,0,0.0,0.0036202256445159835
provenance,0.4492550029382824,825,0.947187141216992,0,0.0,0.0036246058345311134
provenance,0.450054149338413,824,0.9460390355912744,0,0.0,0.003628996636749468
provenance,0.453111531287544,823,0.9448909299655568,0,0.0,0.00363339808978421
provenance,0.4541758037408206,822,0.9437428243398392,0,0.0,0.003637810232436056
provenance,0.4588717090193424,821,0.9425947187141217,0,0.0,0.0036422331036944197
provenance,0.4592173291569389,820,0.9414466130884042,0,0.0,0.003646666742738558
provenance,0.4626367374450815,819,0.9402985074626866,0,0.0,0.0036511111889387295
provenance,0.4669144513811479,818,0.939150401836969,0,0.0,0.0036555664818573607
provenance,0.4676050378485187,817,0.9380022962112514,0,0.0,0.003660032661250217
provenance,0.4728986980650171,816,0.9368541905855339,0,0.0,0.0036645097670675885
provenance,0.4733253873027891,815,0.9357060849598163,0,0.0,0.0036689978394554767
provenance,0.4740380042013599,814,0.9345579793340988,0,0.0,0.0036734969187568003
provenance,0.4744348824468556,813,0.9334098737083811,0,0.0,0.0036780070455125994
provenance,0.4758865826671919,812,0.9322617680826636,0,0.0,0.0036825282604632556
provenance,0.4768598533098232,811,0.931113662456946,0,0.0,0.003687060604549718
provenance,0.4783394308108427,810,0.9299655568312285,0,0.0,0.0036916041189147372
provenance,0.4789821537566804,809,0.928817451205511,0,0.0,0.0036961588449041143
provenance,0.4800550941351564,808,0.9276693455797933,0,0.0,0.0037007248240679505
provenance,0.480055094378379,807,0.9265212399540758,0,0.0,0.0037053020981619145
provenance,0.4804005456348613,806,0.9253731343283582,0,0.0,0.0037098907091485133
provenance,0.4814751973795693,805,0.9242250287026407,0,0.0,0.003714490699198373
provenance,0.4817523973848859,804,0.9230769230769231,0,0.0,0.003719102110691535
provenance,0.4831254109539749,803,0.9219288174512055,0,0.0,0.0037237249862187524
provenance,0.4847842544731464,802,0.9207807118254879,0,0.0,0.003728359368582807
provenance,0.4851015690959342,801,0.9196326061997704,0,0.0,0.003733005300799824
provenance,0.4876119068631482,800,0.9184845005740528,0,0.0,0.003737662826100608
provenance,0.4888894118535559,799,0.9173363949483353,0,0.0,0.00374233198793198
provenance,0.4896265013572571,798,0.9161882893226176,0,0.0,0.003747012829958133
provenance,0.4902765763042007,797,0.9150401836969001,0,0.0,0.003751705396061988
provenance,0.4916616865179943,796,0.9138920780711826,0,0.0,0.003756409730346569
provenance,0.4919352704958739,795,0.912743972445465,0,0.0,0.003761125877136383
provenance,0.4925901467054699,794,0.9115958668197475,0,0.0,0.003765853880978812
provenance,0.4940753934884918,793,0.9104477611940298,0,0.0,0.0037705937866455174
provenance,0.4946944738718683,792,0.9092996555683123,0,0.0,0.00377534563913385
provenance,0.4948375282442085,791,0.9081515499425947,0,0.0,0.003780109483668277
provenance,0.496333984642998,790,0.9070034443168772,0,0.0,0.003784885365701817
provenance,0.4969492450329137,789,0.9058553386911596,0,0.0,0.0037896733309174804
provenance,0.4971406119887621,788,0.904707233065442,0,0.0,0.0037944734252297343
provenance,0.4981803217802776,787,0.9035591274397244,0,0.0,0.0037992856947859613
provenance,0.4981838220816481,786,0.9024110218140069,0,0.0,0.003804110185967945
provenance,0.4986393428027968,785,0.9012629161882894,0,0.0,0.0038089469453933575
provenance,0.4986946972494315,784,0.9001148105625718,0,0.0,0.00381379601991726
provenance,0.4991462473123526,783,0.8989667049368542,0,0.0,0.00381865745663362
provenance,0.4992959571872655,782,0.8978185993111366,0,0.0,0.0038235313028768293
provenance,0.4995406884317197,781,0.8966704936854191,0,0.0,0.0038284176062232445
provenance,0.5005555912027791,780,0.8955223880597015,0,0.0,0.003833316414492737
provenance,0.5014550506713017,779,0.894374282433984,0,0.0,0.0038382277757502475
provenance,0.5024665227424906,778,0.8932261768082663,0,0.0,0.0038431517383073622
provenance,0.5048851737425836,777,0.8920780711825488,0,0.0,0.003848088350723895
provenance,0.5048851829479633,776,0.8909299655568312,0,0.0,0.003853037661809486
provenance,0.5079515883335589,775,0.8897818599311137,0,0.0,0.003857999720625204
provenance,0.5086451780109836,774,0.8886337543053962,0,0.0,0.0038629745764851777
provenance,0.5104736205089144,773,0.8874856486796785,0,0.0,0.00386796227895822
provenance,0.5118028804068497,772,0.886337543053961,0,0.0,0.0038729628778694804
provenance,0.5118505967824151,771,0.8851894374282434,0,0.0,0.0038779764233020995
provenance,0.511895713410529,770,0.8840413318025259,0,0.0,0.003883002965598886
provenance,0.5120623318635991,769,0.8828932261768083,0,0.0,0.003888042555363995
provenance,0.5125174904923939,768,0.8817451205510907,0,0.0,0.0038930952434646352
provenance,0.513048326291632,767,0.8805970149253731,0,0.0,0.0038981610810327715
provenance,0.5133016522516908,766,0.8794489092996556,0,0.0,0.003903240119466856
provenance,0.5133024042248515,765,0.878300803673938,0,0.0,0.003908332410433562
provenance,0.5135603690430373,764,0.8771526980482205,0,0.0,0.003913438005869538
provenance,0.5135887518108069,763,0.8760045924225028,0,0.0,0.003918556957983177
provenance,0.5138433013725004,762,0.8748564867967853,0,0.0,0.003923689319256389
provenance,0.5138540430914048,761,0.8737083811710677,0,0.0,0.003928835142446395
provenance,0.5140367274303982,760,0.8725602755453502,0,0.0,0.003933994480587547
provenance,0.5142048047691298,759,0.8714121699196326,0,0.0,0.00393916738699313
provenance,0.5143819789293451,758,0.870264064293915,0,0.0,0.003944353915257215
provenance,0.5146343661606729,757,0.8691159586681975,0,0.0,0.003949554119256503
provenance,0.5146528010900141,756,0.8679678530424799,0,0.0,0.003954768053152189
provenance,0.5154331906564426,755,0.8668197474167624,0,0.0,0.0039599957713918514
provenance,0.5201766995354609,754,0.8656716417910447,0,0.0,0.0039652373287113315
provenance,0.5203317457709999,753,0.8645235361653272,0,0.0,0.003970492780136659
provenance,0.5214295436089375,752,0.8633754305396096,0,0.0,0.003975762180985968
provenance,0.5223543092797666,751,0.8622273249138921,0,0.0,0.003981045586871445
provenance,0.5239078755038306,750,0.8610792192881745,0,0.0,0.003986343053701278
provenance,0.5239894951718217,749,0.8599311136624569,0,0.0,0.003991654637681636
provenance,0.5240462276999727,748,0.8587830080367393,0,0.0,0.003996980395318649
provenance,0.52441255108889,747,0.8576349024110218,0,0.0,0.004002320383420418
provenance,0.5248839565503184,746,0.8564867967853043,0,0.0,0.004007674659099034
provenance,0.5251484312240023,745,0.8553386911595867,0,0.0,0.0040130432797726105
provenance,0.5254458984661144,744,0.8541905855338691,0,0.0,0.004018426303167338
provenance,0.5254921280268936,743,0.8530424799081515,0,0.0,0.004023823787319555
provenance,0.525493590165588,742,0.851894374282434,0,0.0,0.004029235790577832
provenance,0.5254941864489587,741,0.8507462686567164,0,0.0,0.004034662371605073
provenance,0.5257413876502415,740,0.8495981630309989,0,0.0,0.004040103589380634
provenance,0.5257567682423515,739,0.8484500574052812,0,0.0,0.004045559503202465
provenance,0.5258376939935758,738,0.8473019517795637,0,0.0,0.004051030172689261
provenance,0.5302672410346204,737,0.8461538461538461,0,0.0,0.0040565156577826314
provenance,0.5329719297885258,736,0.8450057405281286,0,0.0,0.004062016018749291
provenance,0.5335672179911872,735,0.8438576349024111,0,0.0,0.004067531316183272
provenance,0.5385538911330849,734,0.8427095292766934,0,0.0,0.004073061611008139
provenance,0.5433915480269756,733,0.8415614236509759,0,0.0,0.004078606964479241
provenance,0.5443344251117576,732,0.8404133180252583,0,0.0,0.004084167438185966
provenance,0.545613712778708,731,0.8392652123995408,0,0.0,0.004089743094054032
provenance,0.5474130720281076,730,0.8381171067738232,0,0.0,0.004095333994347772
provenance,0.5532980831838713,729,0.8369690011481056,0,0.0,0.0041009402016724626
provenance,0.5557742036144611,728,0.835820895522388,0,0.0,0.004106561778976654
provenance,0.5576650306317975,726,0.8335246842709529,0,0.0,0.004117851297048281
provenance,0.557735473754615,725,0.8323765786452354,0,0.0,0.004123519365450504
provenance,0.5583252846274039,723,0.8300803673938002,0,0.0,0.004134902442717262
provenance,0.5610742823475452,722,0.8289322617680827,0,0.0,0.004140617581340837
provenance,0.5618660096780818,721,0.8277841561423651,0,0.0,0.004146348540395888
provenance,0.567773449170625,720,0.8266360505166476,0,0.0,0.004152095385663651
provenance,0.5694576369171743,719,0.8254879448909299,0,0.0,0.004157858183290557
provenance,0.5712825244736157,718,0.8243398392652124,0,0.0,0.00416363699979077
provenance,0.5736460622629562,717,0.8231917336394948,0,0.0,0.004169431902048751
provenance,0.573646062263072,716,0.8220436280137773,0,0.0,0.00417524295732183
provenance,0.5740939156977712,715,0.8208955223880597,0,0.0,0.004181070233242815
provenance,0.5762623286676971,714,0.8197474167623421,0,0.0,0.004186913797822613
provenance,0.5766867246565742,713,0.8185993111366245,0,0.0,0.004192773719452874
provenance,0.5783275576552294,712,0.817451205510907,0,0.0,0.0041986500669086635
provenance,0.5799416898315922,711,0.8163030998851895,0,0.0,0.00420454290935115
provenance,0.5811586575396746,710,0.8151549942594719,0,0.0,0.004210452316330322
provenance,0.5824086312387123,709,0.8140068886337543,0,0.0,0.004216378357787718
provenance,0.5839318068900848,708,0.8128587830080367,0,0.0,0.004222321104059188
provenance,0.583942736764828,707,0.8117106773823192,0,0.0,0.004228280625877683
provenance,0.5842876192078738,706,0.8105625717566016,0,0.0,0.004234256994376052
provenance,0.5857943481906446,705,0.8094144661308841,0,0.0,0.004240250281089874
provenance,0.5867456314755533,704,0.8082663605051664,0,0.0,0.004246260557960319
provenance,0.587756487099585,703,0.8071182548794489,0,0.0,0.004252287897337021
provenance,0.5883742258436119,702,0.8059701492537313,0,0.0,0.004258332371980978
provenance,0.5883844086380444,701,0.8048220436280138,0,0.0,0.004264394055067485
provenance,0.5887833742783385,700,0.8036739380022963,0,0.0,0.0042704730201890894
provenance,0.5895869255675841,699,0.8025258323765786,0,0.0,0.004276569341358559
provenance,0.5896351445520889,698,0.801377726750861,0,0.0,0.0042826830930118975
provenance,0.5898052857968462,697,0.8002296211251435,0,0.0,0.004288814350011366
provenance,0.5898075427332713,696,0.799081515499426,0,0.0,0.0042949631876485405
provenance,0.5900778646091178,695,0.7979334098737084,0,0.0,0.004301129681647397
provenance,0.5901564074699976,694,0.7967853042479908,0,0.0,0.0043073139081674155
provenance,0.5902790504656957,693,0.7956371986222732,0,0.0,0.004313515943806721
provenance,0.5902957728844189,692,0.7944890929965557,0,0.0,0.004319735865605235
provenance,0.5902984716151597,691,0.7933409873708381,0,0.0,0.004325973751047881
provenance,0.5903000726030959,690,0.7921928817451206,0,0.0,0.004332229678067791
provenance,0.5903159950677902,689,0.7910447761194029,0,0.0,0.00433850372504955
provenance,0.5903294317770766,688,0.7898966704936854,0,0.0,0.0043447959708324815
provenance,0.5903380211023012,687,0.7887485648679678,0,0.0,0.004351106494713935
provenance,0.5904548762645336,686,0.7876004592422503,0,0.0,0.0043574353764526275
provenance,0.5904916772653862,685,0.7864523536165328,0,0.0,0.0043637826962719985
provenance,0.5905337704274795,684,0.7853042479908151,0,0.0,0.004370148534863607
provenance,0.5907215626942204,683,0.7841561423650976,0,0.0,0.004376532973390538
provenance,0.5926094588488141,682,0.78300803673938,0,0.0,0.004382936093490863
provenance,0.5944441510237072,681,0.7818599311136625,0,0.0,0.004389357977281117
provenance,0.5947908970496723,680,0.7807118254879449,0,0.0,0.004395798707359807
provenance,0.5954710294866205,679,0.7795637198622273,0,0.0,0.0044022583668109514
provenance,0.596430838798436,678,0.7784156142365097,0,0.0,0.004408737039207661
provenance,0.5964577331871971,677,0.7772675086107922,0,0.0,0.00441523480861573
provenance,0.598108176002794,676,0.7761194029850746,0,0.0,0.004421751759597288
provenance,0.5988328988813777,675,0.7749712973593571,0,0.0,0.004428287977214453
provenance,0.6001056048985431,674,0.7738231917336394,0,0.0,0.004434843547033042
provenance,0.6002298382626672,673,0.7726750861079219,0,0.0,0.0044414185551263025
provenance,0.6012057115938894,672,0.7715269804822044,0,0.0,0.004448013088078678
provenance,0.6022408898368559,671,0.7703788748564868,0,0.0,0.00445462723298961
provenance,0.6024101622470868,670,0.7692307692307693,0,0.0,0.004461261077477372
provenance,0.6029322779319095,669,0.7680826636050516,0,0.0,0.004467914709682941
provenance,0.6031857509476467,668,0.7669345579793341,0,0.0,0.004474588218273896
provenance,0.6034266357335503,667,0.7657864523536165,0,0.0,0.004481281692448361
provenance,0.6053555997056372,666,0.764638346727899,0,0.0,0.004487995221938979
provenance,0.6058939327140282,665,0.7634902411021814,0,0.0,0.00449472889701692
provenance,0.6061580265569214,664,0.7623421354764638,0,0.0,0.004501482808495925
provenance,0.6062090284871359,663,0.7611940298507462,0,0.0,0.004508257047736395
provenance,0.6071603296357814,662,0.7600459242250287,0,0.0,0.004515051706649505
provenance,0.6071809596758159,661,0.7588978185993112,0,0.0,0.004521866877701362
provenance,0.6072188041752045,659,0.756601607347876,0,0.0,0.004535559128885619
provenance,0.6073063429702067,658,0.7554535017221584,0,0.0,0.004542436396762836
provenance,0.6073864205580953,657,0.7543053960964409,0,0.0,0.004549334552277017
provenance,0.6107285809307106,656,0.7531572904707233,0,0.0,0.004556253690732621
provenance,0.6108944359359456,655,0.7520091848450058,0,0.0,0.004563193908014778
provenance,0.6113700935957787,654,0.7508610792192881,0,0.0,0.004570155300593733
provenance,0.6125600256149414,653,0.7497129735935706,0,0.0,0.004577137965529306
provenance,0.612785431191797,652,0.748564867967853,0,0.0,0.004584142000475405
provenance,0.612790518960269,651,0.7474167623421355,0,0.0,0.00459116750368458
provenance,0.6136959236844483,650,0.746268656716418,0,0.0,0.0045982145740126185
provenance,0.6137801454201852,649,0.7451205510907003,0,0.0,0.004605283310923178
provenance,0.6139728340228057,648,0.7439724454649828,0,0.0,0.0046123738144924695
provenance,0.6153046495563046,647,0.7428243398392652,0,0.0,0.004619486185413978
provenance,0.6159151996460237,646,0.7416762342135477,0,0.0,0.00462662052500323
provenance,0.6159887705086716,645,0.7405281285878301,0,0.0,0.004633776935202602
provenance,0.6161609792386431,644,0.7393800229621125,0,0.0,0.00464095551858618
provenance,0.6162012299283273,643,0.7382319173363949,0,0.0,0.004648156378364659
provenance,0.6166535981389643,642,0.7370838117106774,0,0.0,0.004655379618390286
provenance,0.6167962078506782,641,0.7359357060849598,0,0.0,0.0046626253431618575
provenance,0.6168104530731056,640,0.7347876004592423,0,0.0,0.004669893657829755
provenance,0.6173646572872513,639,0.7336394948335246,0,0.0,0.004677184668201034
provenance,0.6176479799444587,638,0.7324913892078071,0,0.0,0.0046844984807445575
provenance,0.617748816003541,637,0.7313432835820896,0,0.0,0.004691835202596177
provenance,0.6178265096971923,636,0.730195177956372,0,0.0,0.004699194941563964
provenance,0.6178750419221849,635,0.7290470723306545,0,0.0,0.004706577806133497
provenance,0.6180340281191165,634,0.7278989667049368,0,0.0,0.0047139839054731805
provenance,0.618290947480586,633,0.7267508610792193,0,0.0,0.0047214133494396324
provenance,0.6183354257369332,632,0.7256027554535017,0,0.0,0.004728866248583121
provenance,0.6183481899691542,631,0.7244546498277842,0,0.0,0.004736342714153035
provenance,0.6184743412207724,630,0.7233065442020666,0,0.0,0.004743842858103431
provenance,0.6184925227299057,629,0.722158438576349,0,0.0,0.004751366793098615
provenance,0.6196532321151885,628,0.7210103329506314,0,0.0,0.004758914632518788
provenance,0.6200707605831728,627,0.7198622273249139,0,0.0,0.004766486490465734
provenance,0.6213135974015983,626,0.7187141216991964,0,0.0,0.004774082481768583
provenance,0.6237858270856261,625,0.7175660160734788,0,0.0,0.004781702721989599
provenance,0.6239189816224349,624,0.7164179104477612,0,0.0,0.004789347327430053
provenance,0.6240270516448597,623,0.7152698048220436,0,0.0,0.004797016415136133
provenance,0.6255487712251433,622,0.7141216991963261,0,0.0,0.004804710102904924
provenance,0.6255692909017797,621,0.7129735935706085,0,0.0,0.004812428509290432
provenance,0.6257919969412712,620,0.711825487944891,0,0.0,0.004820171753609678
provenance,0.62635888452217,619,0.7106773823191733,0,0.0,0.004827939955948845
provenance,0.6263979391694707,618,0.7095292766934558,0,0.0,0.004835733237169484
provenance,0.6272999528535856,617,0.7083811710677382,0,0.0,0.004843551718914788
provenance,0.6275610006588138,616,0.7072330654420207,0,0.0,0.004851395523615913
provenance,0.627851554099549,615,0.7060849598163031,0,0.0,0.0048592647744983754
provenance,0.6299021935955567,614,0.7049368541905855,0,0.0,0.0048671595955885015
provenance,0.6303381990387807,613,0.703788748564868,0,0.0,0.0048750801117199444
provenance,0.6305137267917595,612,0.7026406429391504,0,0.0,0.00488302644854026
provenance,0.6306292889380241,611,0.7014925373134329,0,0.0,0.0048909987325175585
provenance,0.6306534319662603,610,0.7003444316877153,0,0.0,0.0048989970909472085
